ts	name	overrides	status	coding_agg_tps	coding_ttft_p50	longgen_decode_tps	shorts_p50_s	cold_prefill_tps	conc_top_agg_tps	warm_ttft_s	conc_top_decode_p50	conc_top_ttft_max	spec_accept	min_mem_gib	min_clock_mhz	errors	bench_wall_s	foreign_reqs	sanity	cancel	needle	no_errors	mem_floor	clean	clocks	gates_pass	score	receipt	live_env
2026-09-05T00:50:12Z	live-b5-baseline	(live)	ok	53.070	4.532	35.780	0.573	757.700	109.030	2.214	15.440	2.000	0.575	8.960	2398	0	673.500	0	1	1	1	1	1	1	1	1	1.000	/home/spark/AI/autoresearch-batch5/live-b5-baseline.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-05T01:11:30Z	buff1m	NCCL_BUFFSIZE=1048576 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 MAX_NUM_BATCHED_TOKENS=2048 DFLASH_TOKENS=3 SWAPPINESS=60	ok	53.360	5.635	31.440	0.572	759.100	107.850	2.640	15.100	1.554	0.552	11.360	2405	0	684.900	0	1	1	1	1	1	1	1	1	0.943	/home/spark/AI/autoresearch-batch5/buff1m.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-05T01:33:23Z	buff8m	NCCL_BUFFSIZE=8388608 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 MAX_NUM_BATCHED_TOKENS=2048 DFLASH_TOKENS=3 SWAPPINESS=60	ok	52.880	4.548	31.170	0.554	759.900	108.290	2.495	15.160	1.752	0.548	4.780	2398	0	685.300	0	1	1	1	1	1	1	1	1	0.976	/home/spark/AI/autoresearch-batch5/buff8m.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-05T01:53:43Z	chan4	NCCL_MIN_NCHANNELS=4 NCCL_MAX_NCHANNELS=4 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 MAX_NUM_BATCHED_TOKENS=2048 DFLASH_TOKENS=3 SWAPPINESS=60	ok	55.860	5.074	38.150	0.559	846.300	116.060	2.210	15.980	1.693	0.587	20.320	2405	0	624.100	0	1	1	1	1	1	1	1	1	1.030	/home/spark/AI/autoresearch-batch5/chan4.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-05T02:14:30Z	chan16	NCCL_MIN_NCHANNELS=16 NCCL_MAX_NCHANNELS=16 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 MAX_NUM_BATCHED_TOKENS=2048 DFLASH_TOKENS=3 SWAPPINESS=60	ok	54.770	4.264	30.850	0.559	802.900	109.360	2.043	15.240	1.633	0.550	16.470	2411	0	664.600	0	1	1	1	1	1	1	1	1	1.001	/home/spark/AI/autoresearch-batch5/chan16.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-05T02:41:16Z	qps4	NCCL_IB_QPS_PER_CONNECTION=4 NCCL_IB_SPLIT_DATA_ON_QPS=1 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 MAX_NUM_BATCHED_TOKENS=2048 DFLASH_TOKENS=3 SWAPPINESS=60	ok	52.300	4.463	38.180	0.572	769.500	97.720	2.370	13.490	2.000	0.584	8.190	2431	0	670.500	0	1	1	1	1	1	1	1	1	0.995	/home/spark/AI/autoresearch-batch5/qps4.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-05T03:02:04Z	chan2	NCCL_MIN_NCHANNELS=2 NCCL_MAX_NCHANNELS=2 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 MAX_NUM_BATCHED_TOKENS=2048 DFLASH_TOKENS=3 SWAPPINESS=60	ok	54.810	29.699	32.860	0.547	851.800	115.060	2.390	16.070	1.598	0.540	20.080	2411	0	642.100	0	1	1	1	1	1	1	1	1	0.746	/home/spark/AI/autoresearch-batch5/chan2.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-05T03:27:19Z	chan1	NCCL_MIN_NCHANNELS=1 NCCL_MAX_NCHANNELS=1 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 MAX_NUM_BATCHED_TOKENS=2048 DFLASH_TOKENS=3 SWAPPINESS=60	ok	52.960	5.415	38.100	0.501	789.700	116.470	2.613	16.225	1.399	0.578	18.880	2405	0	646.300	0	1	1	1	1	1	1	1	1	0.998	/home/spark/AI/autoresearch-batch5/chan1.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-05T03:47:41Z	chan8	NCCL_MIN_NCHANNELS=8 NCCL_MAX_NCHANNELS=8 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 MAX_NUM_BATCHED_TOKENS=2048 DFLASH_TOKENS=3 SWAPPINESS=60	ok	53.210	17.632	35.090	0.545	846.800	118.930	0.749	15.920	1.392	0.559	17.420	2405	0	640.400	0	1	1	1	1	1	1	1	1	0.822	/home/spark/AI/autoresearch-batch5/chan8.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-05T04:08:22Z	chan4-qps4	NCCL_MIN_NCHANNELS=4 NCCL_MAX_NCHANNELS=4 NCCL_IB_QPS_PER_CONNECTION=4 NCCL_IB_SPLIT_DATA_ON_QPS=1 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 MAX_NUM_BATCHED_TOKENS=2048 DFLASH_TOKENS=3 SWAPPINESS=60	ok	51.750	17.255	33.640	0.562	813.900	122.420	2.563	16.590	1.462	0.556	18.770	2418	0	660.200	0	1	1	1	1	1	1	1	1	0.814	/home/spark/AI/autoresearch-batch5/chan4-qps4.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
