name	coding_agg_tps	coding_ttft_p50	longgen_decode_tps	shorts_p50_s	cold_prefill_tps	conc_top_agg_tps	warm_ttft_s	conc_top_decode_p50	conc_top_ttft_max	spec_accept	min_mem_gib	errors	bench_wall_s	foreign_reqs	sanity	cancel	needle	no_errors	mem_floor	clean	gates_pass	score
live-baseline	59.690	3.115	26.430	0.482	1009.700	76.770	1.632	25.930	34.517	0.306	0.850	0	662.100		1	1	1	1	0	1	0	0.912
mem080	60.210	2.393	27.910	0.420	1157.100	84.180	2.034	24.400	27.387	0.301	4.130	0	612.300		1	1	1	1	1	1	1	1.000
mem080-seqs8	61.270	2.812	26.650	0.462	1165.600	103.400	1.921	14.620	1.280	0.304	2.400	0	602.700		1	1	1	1	0	1	0	1.004
mem080-dflash5	60.790	2.836	28.210	0.495	1128.400	90.380	1.875	26.910	26.847	0.386	1.660	0	601.500		1	1	1	1	0	1	0	0.983
mem080-dflash3	59.630	1.691	31.080	0.453	1132.500	86.800	1.960	23.665	25.348	0.531	5.460	0	594.800		1	1	1	1	1	1	1	1.079
live-mem080-dflash3-rep	62.170	2.169	30.650	0.411	1166.700	91.470	1.941	26.220	24.439	0.532	5.270	0	573.400		1	1	1	1	1	1	1	1.054
mem080-dflash2	63.780	3.070	31.210	0.479	1181.400	64.250	1.810	17.440	34.710	0.638	5.140	0	596.700		1	1	1	1	1	1	1	0.947
mem080-dflash4	51.670	13.732	12.570	1.814	1087.200	47.190	1.845	24.010	63.730	0.762	4.770	0	1312.800		1	0	1	1	1	1	0	0.519
mem080-nospec	44.930	2.373	22.610	0.516	1201.700	65.860	1.607	16.730	31.727		3.840	0	722.700	0	1	1	1	1	1	1	1	0.889
mem080-chunk4096	57.080	2.492	26.500	0.459	1123.500	84.510	0.461	22.910	28.445	0.298	3.050	0	632.300		1	1	1	1	1	1	1	0.972
mem080-chunk8192	53.360	19.947	26.670	0.465	1137.100	88.110	0.504	23.445	24.714	0.299	3.470	0	647.300		1	1	1	1	1	1	1	0.686
mem080-dflash3-chunk1024	63.090	12.347	33.260	0.416	1100.300	93.150	1.917	26.125	24.173	0.534	5.160	0	571.700	0	1	1	1	1	1	1	1	0.796
mem080-mix2048	62.570	2.887	29.100	0.410	1158.500	84.200	1.858	23.565	26.616	0.317	2.100	0	600.700		1	1	1	1	0	1	0	0.983
mem075-dflash3-seqs8	61.540	2.883	32.890	0.456	1184.500	134.710	1.901	18.260	0.996	0.536	8.920	0	551.100	0	1	1	1	1	1	1	1	1.086
