11:50:42 start TP4-soak150-spec0 http://127.0.0.1:8890/v1 salt 20260903T115041Z phases ['warmup', 'sanity', 'soak', 'sanity_end']
11:50:42 phase warmup begin
11:51:50 warmup warm-think 17.829 ttft 2.18 err None
11:51:50 warmup warm-tools 4.898 ttft 0.906 err None
11:51:50 warmup warm-gen 31.902 ttft 0.214 err None
11:51:50 warmup warm-12k 9.396 ttft 9.222 err None
11:51:50 warmup warm-12k-again 1.451 ttft 1.113 err None
11:51:53 phase warmup end 67.6 s
11:51:53 phase sanity begin
11:51:56 sanity {'exact_json': True, 'normal_eos': True, 'tool_call': True, 'json_schema': True, 'json_schema_text': '{"host": "spark-f1cc", "healthy": true, "ranks": 4}', 'all_pass': True}
11:51:58 phase sanity end 3.5 s
11:51:58 phase soak begin
11:51:59 soak sample 0.0 {'running': 0.0, 'waiting': 0.0, 'kv_usage': 0.0, 'prefix_queries': 27898.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 75.0} {'r0': {'MemAvailable_GiB': 11.65, 'SwapFree_GiB': 11.89, 'clock_mhz': 2424, 'gpu_util': 0}, 'r1': {'MemAvailable_GiB': 15.18, 'SwapFree_GiB': 12.53, 'clock_mhz': 2509, 'gpu_util': 0}, 'r2': {'MemAvailable_GiB': 15.26, 'SwapFree_GiB': 13.18, 'clock_mhz': 2502, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.37, 'SwapFree_GiB': 13.06, 'clock_mhz': 2509, 'gpu_util': 96}}
11:53:01 soak sample 61.5 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.026112759643916905, 'prefix_queries': 149244.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 81.0} {'r0': {'MemAvailable_GiB': 11.53, 'SwapFree_GiB': 11.89, 'clock_mhz': 2450, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.45, 'SwapFree_GiB': 12.54, 'clock_mhz': 2496, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.13, 'SwapFree_GiB': 13.18, 'clock_mhz': 2496, 'gpu_util': 94}, 'r3': {'MemAvailable_GiB': 15.27, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 95}}
11:54:03 soak sample 123.7 {'running': 8.0, 'waiting': 1.0, 'kv_usage': 0.014243323442136524, 'prefix_queries': 149389.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 84.0} {'r0': {'MemAvailable_GiB': 11.49, 'SwapFree_GiB': 11.89, 'clock_mhz': 2463, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.42, 'SwapFree_GiB': 12.54, 'clock_mhz': 2502, 'gpu_util': 96}, 'r2': {'MemAvailable_GiB': 14.61, 'SwapFree_GiB': 13.18, 'clock_mhz': 2509, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.22, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
11:55:06 soak sample 185.9 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.014243323442136524, 'prefix_queries': 173477.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 87.0} {'r0': {'MemAvailable_GiB': 11.45, 'SwapFree_GiB': 11.89, 'clock_mhz': 2457, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.36, 'SwapFree_GiB': 12.54, 'clock_mhz': 2502, 'gpu_util': 94}, 'r2': {'MemAvailable_GiB': 14.8, 'SwapFree_GiB': 13.18, 'clock_mhz': 2509, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.17, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
11:56:08 soak sample 248.0 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.015133531157270008, 'prefix_queries': 173644.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 92.0} {'r0': {'MemAvailable_GiB': 11.47, 'SwapFree_GiB': 11.89, 'clock_mhz': 2457, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.35, 'SwapFree_GiB': 12.54, 'clock_mhz': 2502, 'gpu_util': 96}, 'r2': {'MemAvailable_GiB': 14.55, 'SwapFree_GiB': 13.18, 'clock_mhz': 2502, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.17, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
11:57:10 soak sample 310.2 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.018694362017804167, 'prefix_queries': 197786.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 93.0} {'r0': {'MemAvailable_GiB': 11.48, 'SwapFree_GiB': 11.89, 'clock_mhz': 2450, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.34, 'SwapFree_GiB': 12.54, 'clock_mhz': 2489, 'gpu_util': 94}, 'r2': {'MemAvailable_GiB': 15.08, 'SwapFree_GiB': 13.18, 'clock_mhz': 2483, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.18, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 95}}
11:58:12 soak sample 372.3 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.019881305637982183, 'prefix_queries': 270231.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 102.0} {'r0': {'MemAvailable_GiB': 11.46, 'SwapFree_GiB': 11.89, 'clock_mhz': 2444, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.33, 'SwapFree_GiB': 12.54, 'clock_mhz': 2489, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.09, 'SwapFree_GiB': 13.18, 'clock_mhz': 2483, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.16, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 94}}
11:59:14 soak sample 434.4 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.01543026706231454, 'prefix_queries': 270326.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 104.0} {'r0': {'MemAvailable_GiB': 11.46, 'SwapFree_GiB': 11.89, 'clock_mhz': 2457, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.32, 'SwapFree_GiB': 12.54, 'clock_mhz': 2502, 'gpu_util': 96}, 'r2': {'MemAvailable_GiB': 15.05, 'SwapFree_GiB': 13.18, 'clock_mhz': 2489, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.15, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
12:00:16 soak sample 496.6 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.0189910979228487, 'prefix_queries': 367010.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 105.0} {'r0': {'MemAvailable_GiB': 11.46, 'SwapFree_GiB': 11.89, 'clock_mhz': 2431, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.33, 'SwapFree_GiB': 12.54, 'clock_mhz': 2489, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.07, 'SwapFree_GiB': 13.18, 'clock_mhz': 2476, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.15, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 95}}
12:01:18 soak sample 558.7 {'running': 6.0, 'waiting': 2.0, 'kv_usage': 0.028189910979228516, 'prefix_queries': 367010.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 107.0} {'r0': {'MemAvailable_GiB': 11.44, 'SwapFree_GiB': 11.89, 'clock_mhz': 2431, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.31, 'SwapFree_GiB': 12.54, 'clock_mhz': 2470, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.05, 'SwapFree_GiB': 13.18, 'clock_mhz': 2476, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.16, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 95}}
12:02:20 soak sample 620.7 {'running': 6.0, 'waiting': 2.0, 'kv_usage': 0.026112759643916905, 'prefix_queries': 463527.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 108.0} {'r0': {'MemAvailable_GiB': 11.43, 'SwapFree_GiB': 11.89, 'clock_mhz': 2431, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.3, 'SwapFree_GiB': 12.54, 'clock_mhz': 2470, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.09, 'SwapFree_GiB': 13.18, 'clock_mhz': 2476, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.15, 'SwapFree_GiB': 13.06, 'clock_mhz': 2476, 'gpu_util': 95}}
12:03:22 soak sample 682.7 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.02729970326409492, 'prefix_queries': 560463.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 113.0} {'r0': {'MemAvailable_GiB': 11.43, 'SwapFree_GiB': 11.89, 'clock_mhz': 2431, 'gpu_util': 94}, 'r1': {'MemAvailable_GiB': 15.29, 'SwapFree_GiB': 12.54, 'clock_mhz': 2470, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.08, 'SwapFree_GiB': 13.18, 'clock_mhz': 2483, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.15, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 95}}
12:04:25 soak sample 744.8 {'running': 8.0, 'waiting': 1.0, 'kv_usage': 0.016023738872403603, 'prefix_queries': 560608.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 116.0} {'r0': {'MemAvailable_GiB': 11.45, 'SwapFree_GiB': 11.89, 'clock_mhz': 2444, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.31, 'SwapFree_GiB': 12.54, 'clock_mhz': 2483, 'gpu_util': 94}, 'r2': {'MemAvailable_GiB': 15.06, 'SwapFree_GiB': 13.18, 'clock_mhz': 2489, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.17, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
12:05:27 soak sample 807.0 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.023738872403560873, 'prefix_queries': 656612.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 118.0} {'r0': {'MemAvailable_GiB': 11.42, 'SwapFree_GiB': 11.89, 'clock_mhz': 2431, 'gpu_util': 94}, 'r1': {'MemAvailable_GiB': 15.3, 'SwapFree_GiB': 12.54, 'clock_mhz': 2476, 'gpu_util': 94}, 'r2': {'MemAvailable_GiB': 15.07, 'SwapFree_GiB': 13.18, 'clock_mhz': 2476, 'gpu_util': 94}, 'r3': {'MemAvailable_GiB': 15.14, 'SwapFree_GiB': 13.06, 'clock_mhz': 2476, 'gpu_util': 95}}
12:06:29 soak sample 869.1 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.01543026706231454, 'prefix_queries': 656757.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 121.0} {'r0': {'MemAvailable_GiB': 11.4, 'SwapFree_GiB': 11.89, 'clock_mhz': 2444, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.3, 'SwapFree_GiB': 12.54, 'clock_mhz': 2483, 'gpu_util': 96}, 'r2': {'MemAvailable_GiB': 15.04, 'SwapFree_GiB': 13.18, 'clock_mhz': 2489, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.23, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
12:07:31 soak sample 931.3 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.016320474777448024, 'prefix_queries': 656844.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 124.0} {'r0': {'MemAvailable_GiB': 11.41, 'SwapFree_GiB': 11.89, 'clock_mhz': 2444, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.33, 'SwapFree_GiB': 12.54, 'clock_mhz': 2483, 'gpu_util': 96}, 'r2': {'MemAvailable_GiB': 15.06, 'SwapFree_GiB': 13.18, 'clock_mhz': 2489, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.23, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
12:08:33 soak sample 993.5 {'running': 7.0, 'waiting': 1.0, 'kv_usage': 0.02136498516320473, 'prefix_queries': 753885.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 126.0} {'r0': {'MemAvailable_GiB': 11.38, 'SwapFree_GiB': 11.89, 'clock_mhz': 2437, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.32, 'SwapFree_GiB': 12.54, 'clock_mhz': 2476, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.04, 'SwapFree_GiB': 13.18, 'clock_mhz': 2483, 'gpu_util': 94}, 'r3': {'MemAvailable_GiB': 15.22, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 95}}
12:09:35 soak sample 1055.6 {'running': 6.0, 'waiting': 2.0, 'kv_usage': 0.016617210682492556, 'prefix_queries': 850559.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 128.0} {'r0': {'MemAvailable_GiB': 11.38, 'SwapFree_GiB': 11.89, 'clock_mhz': 2450, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.31, 'SwapFree_GiB': 12.54, 'clock_mhz': 2483, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.03, 'SwapFree_GiB': 13.18, 'clock_mhz': 2476, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.2, 'SwapFree_GiB': 13.06, 'clock_mhz': 2470, 'gpu_util': 95}}
12:10:38 soak sample 1117.8 {'running': 5.0, 'waiting': 3.0, 'kv_usage': 0.027893175074183985, 'prefix_queries': 947023.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 132.0} {'r0': {'MemAvailable_GiB': 11.37, 'SwapFree_GiB': 11.89, 'clock_mhz': 2444, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.31, 'SwapFree_GiB': 12.54, 'clock_mhz': 2470, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.04, 'SwapFree_GiB': 13.18, 'clock_mhz': 2476, 'gpu_util': 94}, 'r3': {'MemAvailable_GiB': 15.17, 'SwapFree_GiB': 13.06, 'clock_mhz': 2470, 'gpu_util': 95}}
12:11:40 soak sample 1180.0 {'running': 2.0, 'waiting': 6.0, 'kv_usage': 0.020771513353115778, 'prefix_queries': 947023.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 135.0} {'r0': {'MemAvailable_GiB': 11.36, 'SwapFree_GiB': 11.89, 'clock_mhz': 2444, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.32, 'SwapFree_GiB': 12.54, 'clock_mhz': 2470, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.05, 'SwapFree_GiB': 13.18, 'clock_mhz': 2476, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.2, 'SwapFree_GiB': 13.06, 'clock_mhz': 2463, 'gpu_util': 95}}
12:12:42 soak sample 1242.1 {'running': 2.0, 'waiting': 6.0, 'kv_usage': 0.018694362017804167, 'prefix_queries': 1043422.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 136.0} {'r0': {'MemAvailable_GiB': 11.38, 'SwapFree_GiB': 11.89, 'clock_mhz': 2437, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.32, 'SwapFree_GiB': 12.54, 'clock_mhz': 2476, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.03, 'SwapFree_GiB': 13.18, 'clock_mhz': 2476, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.2, 'SwapFree_GiB': 13.06, 'clock_mhz': 2463, 'gpu_util': 94}}
12:13:44 soak sample 1304.2 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.01958456973293765, 'prefix_queries': 1116290.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 145.0} {'r0': {'MemAvailable_GiB': 11.37, 'SwapFree_GiB': 11.9, 'clock_mhz': 2444, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.32, 'SwapFree_GiB': 12.54, 'clock_mhz': 2470, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.02, 'SwapFree_GiB': 13.18, 'clock_mhz': 2476, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.16, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 95}}
12:14:46 soak sample 1366.3 {'running': 8.0, 'waiting': 1.0, 'kv_usage': 0.014243323442136524, 'prefix_queries': 1116754.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 150.0} {'r0': {'MemAvailable_GiB': 11.36, 'SwapFree_GiB': 11.9, 'clock_mhz': 2457, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.31, 'SwapFree_GiB': 12.54, 'clock_mhz': 2489, 'gpu_util': 96}, 'r2': {'MemAvailable_GiB': 15.03, 'SwapFree_GiB': 13.18, 'clock_mhz': 2489, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.15, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
12:15:48 soak sample 1428.4 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.014243323442136524, 'prefix_queries': 1140888.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 154.0} {'r0': {'MemAvailable_GiB': 11.37, 'SwapFree_GiB': 11.9, 'clock_mhz': 2457, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.29, 'SwapFree_GiB': 12.54, 'clock_mhz': 2483, 'gpu_util': 96}, 'r2': {'MemAvailable_GiB': 15.01, 'SwapFree_GiB': 13.18, 'clock_mhz': 2489, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.15, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
